Season,Year,Sport,Gender,Event,Medal,Country
Summer,1896,Aquatics,Men,100M Freestyle,Gold,Hungary
Summer,1896,Aquatics,Men,100M Freestyle,Silver,Austria
Summer,1896,Aquatics,Men,100M Freestyle For Sailors,Bronze,Greece
Summer,1896,Aquatics,Men,100M Freestyle For Sailors,Gold,Greece
Summer,1896,Aquatics,Men,100M Freestyle For Sailors,Silver,Greece
Summer,1896,Aquatics,Men,1200M Freestyle,Bronze,Greece
Summer,1896,Aquatics,Men,1200M Freestyle,Gold,Hungary
Summer,1896,Aquatics,Men,1200M Freestyle,Silver,Greece
Summer,1896,Aquatics,Men,400M Freestyle,Bronze,Greece
Summer,1896,Aquatics,Men,400M Freestyle,Gold,Austria
Summer,1896,Aquatics,Men,400M Freestyle,Silver,Greece
Summer,1896,Athletics,Men,100M,Bronze,USA
Summer,1896,Athletics,Men,100M,Bronze,Hungary
Summer,1896,Athletics,Men,100M,Gold,USA
Summer,1896,Athletics,Men,100M,Silver,Germany
Summer,1896,Athletics,Men,110M Hurdles,Gold,USA
Summer,1896,Athletics,Men,110M Hurdles,Silver,UK
Summer,1896,Athletics,Men,1500M,Bronze,France
Summer,1896,Athletics,Men,1500M,Gold,Australia
Summer,1896,Athletics,Men,1500M,Silver,USA
Summer,1896,Athletics,Men,400M,Bronze,UK
Summer,1896,Athletics,Men,400M,Gold,USA
Summer,1896,Athletics,Men,400M,Silver,USA
Summer,1896,Athletics,Men,800M,Bronze,Greece
Summer,1896,Athletics,Men,800M,Gold,Australia
Summer,1896,Athletics,Men,800M,Silver,Hungary
Summer,1896,Athletics,Men,Discus Throw,Bronze,Greece
Summer,1896,Athletics,Men,Discus Throw,Gold,USA
Summer,1896,Athletics,Men,Discus Throw,Silver,Greece
Summer,1896,Athletics,Men,High Jump,Gold,USA
Summer,1896,Athletics,Men,High Jump,Silver,USA
Summer,1896,Athletics,Men,High Jump,Silver,USA
Summer,1896,Athletics,Men,Long Jump,Bronze,USA
Summer,1896,Athletics,Men,Long Jump,Gold,USA
Summer,1896,Athletics,Men,Long Jump,Silver,USA
Summer,1896,Athletics,Men,Marathon,Bronze,Hungary
Summer,1896,Athletics,Men,Marathon,Gold,Greece
Summer,1896,Athletics,Men,Marathon,Silver,Greece
Summer,1896,Athletics,Men,Pole Vault,Bronze,Greece
