_id,Season,Year,Sport,Gender,Event,Medal,region
5f0cf0ed6e0a609f6b2b6f25,Summer,1896,Aquatics,Men,100M Freestyle,Gold,Hungary
5f0cf0ed6e0a609f6b2b6f26,Summer,1896,Aquatics,Men,100M Freestyle,Silver,Austria
5f0cf0ed6e0a609f6b2b6f27,Summer,1896,Aquatics,Men,100M Freestyle For Sailors,Bronze,Greece
5f0cf0ed6e0a609f6b2b6f28,Summer,1896,Aquatics,Men,100M Freestyle For Sailors,Gold,Greece
5f0cf0ed6e0a609f6b2b6f29,Summer,1896,Aquatics,Men,100M Freestyle For Sailors,Silver,Greece
5f0cf0ed6e0a609f6b2b6f2a,Summer,1896,Aquatics,Men,1200M Freestyle,Bronze,Greece
5f0cf0ed6e0a609f6b2b6f2b,Summer,1896,Aquatics,Men,1200M Freestyle,Gold,Hungary
5f0cf0ed6e0a609f6b2b6f2c,Summer,1896,Aquatics,Men,1200M Freestyle,Silver,Greece
5f0cf0ed6e0a609f6b2b6f2d,Summer,1896,Aquatics,Men,400M Freestyle,Bronze,Greece
5f0cf0ed6e0a609f6b2b6f2e,Summer,1896,Aquatics,Men,400M Freestyle,Gold,Austria
5f0cf0ed6e0a609f6b2b6f2f,Summer,1896,Aquatics,Men,400M Freestyle,Silver,Greece
5f0cf0ed6e0a609f6b2b6f30,Summer,1896,Athletics,Men,100M,Bronze,USA
5f0cf0ed6e0a609f6b2b6f31,Summer,1896,Athletics,Men,100M,Bronze,Hungary
5f0cf0ed6e0a609f6b2b6f32,Summer,1896,Athletics,Men,100M,Gold,USA
5f0cf0ed6e0a609f6b2b6f33,Summer,1896,Athletics,Men,100M,Silver,Germany
5f0cf0ed6e0a609f6b2b6f34,Summer,1896,Athletics,Men,110M Hurdles,Gold,USA
5f0cf0ed6e0a609f6b2b6f35,Summer,1896,Athletics,Men,110M Hurdles,Silver,UK
5f0cf0ed6e0a609f6b2b6f36,Summer,1896,Athletics,Men,1500M,Bronze,France
5f0cf0ed6e0a609f6b2b6f37,Summer,1896,Athletics,Men,1500M,Gold,Australia
5f0cf0ed6e0a609f6b2b6f38,Summer,1896,Athletics,Men,1500M,Silver,USA
5f0cf0ed6e0a609f6b2b6f39,Summer,1896,Athletics,Men,400M,Bronze,UK
5f0cf0ed6e0a609f6b2b6f3a,Summer,1896,Athletics,Men,400M,Gold,USA
5f0cf0ed6e0a609f6b2b6f3b,Summer,1896,Athletics,Men,400M,Silver,USA
5f0cf0ed6e0a609f6b2b6f3c,Summer,1896,Athletics,Men,800M,Bronze,Greece
5f0cf0ed6e0a609f6b2b6f3d,Summer,1896,Athletics,Men,800M,Gold,Australia
5f0cf0ed6e0a609f6b2b6f3e,Summer,1896,Athletics,Men,800M,Silver,Hungary
5f0cf0ed6e0a609f6b2b6f3f,Summer,1896,Athletics,Men,Discus Throw,Bronze,Greece
5f0cf0ed6e0a609f6b2b6f40,Summer,1896,Athletics,Men,Discus Throw,Gold,USA
5f0cf0ed6e0a609f6b2b6f41,Summer,1896,Athletics,Men,Discus Throw,Silver,Greece
5f0cf0ed6e0a609f6b2b6f42,Summer,1896,Athletics,Men,High Jump,Gold,USA
5f0cf0ed6e0a609f6b2b6f43,Summer,1896,Athletics,Men,High Jump,Silver,USA
5f0cf0ed6e0a609f6b2b6f44,Summer,1896,Athletics,Men,High Jump,Silver,USA
5f0cf0ed6e0a609f6b2b6f45,Summer,1896,Athletics,Men,Long Jump,Bronze,USA
5f0cf0ed6e0a609f6b2b6f46,Summer,1896,Athletics,Men,Long Jump,Gold,USA
5f0cf0ed6e0a609f6b2b6f47,Summer,1896,Athletics,Men,Long Jump,Silver,USA
5f0cf0ed6e0a609f6b2b6f48,Summer,1896,Athletics,Men,Marathon,Bronze,Hungary
5f0cf0ed6e0a609f6b2b6f49,Summer,1896,Athletics,Men,Marathon,Gold,Greece
5f0cf0ed6e0a609f6b2b6f4a,Summer,1896,Athletics,Men,Marathon,Silver,Greece
5f0cf0ed6e0a609f6b2b6f4b,Summer,1896,Athletics,Men,Pole Vault,Bronze,Greece
5f0cf0ed6e0a609f6b2b6f4c,Summer,1896,Athletics,Men,Pole Vault,Bronze,Greece
5f0cf0ed6e0a609f6b2b6f4d,Summer,1896,Athletics,Men,Pole Vault,Gold,USA
5f0cf0ed6e0a609f6b2b6f4e,Summer,1896,Athletics,Men,Pole Vault,Silver,USA
5f0cf0ed6e0a609f6b2b6f4f,Summer,1896,Athletics,Men,Shot Put,Bronze,Greece
5f0cf0ed6e0a609f6b2b6f50,Summer,1896,Athletics,Men,Shot Put,Gold,USA
5f0cf0ed6e0a609f6b2b6f51,Summer,1896,Athletics,Men,Shot Put,Silver,Greece
5f0cf0ed6e0a609f6b2b6f52,Summer,1896,Athletics,Men,Triple Jump,Bronze,Greece
